URI,Title,Authority,Deity,Denomination,Department,Diameter,Dynasty,Issuer,Manufacture,Material,Mint,Obverse Legend,Obverse Type,Object Type,Portrait,Reference,Region,Region-coord,Reverse Legend,Reverse Type,Weight,terminus_post_quem,terminus_ante_quem,year_avg,Thumbnail_obv,Thumbnail_rev
http://numismatics.org/collection/0000.999.24039,"Bronze AE4 of Zeno, Cyzicus, AD 476 - AD 491. 0000.999.24039",Zeno,,AE4,Roman,19,,,Struck,Bronze,Cyzicus,[ ],Bust diademed draped right,Coin,Zeno,RIC X Zeno (East) 966,Mysia,"39.1325, 27.184167",,Zeno monogram 13,0.953,476,491,483,http://numismatics.org/collectionimages/00001899/0000/0000.999.24039.obv.width175.jpg,http://numismatics.org/collectionimages/00001899/0000/0000.999.24039.rev.width175.jpg
http://numismatics.org/collection/1905.57.607,"Gold Solidus of Theodosius II, Constantinople, AD 408 - AD 420. 1905.57.607",Theodosius II,Victory,Solidus,Roman,20.5,,Theodosius II,,Gold,Constantinople,D N THEODOSIVS P F AVG,Bust facing helmeted cuirassed holding spear and shield,Coin,,,,,CONCORDIA AVGGG,"Constantinopolis seated front, holding spear and Victory on glboe, prow left",4.465,408,420,414,http://numismatics.org/collectionimages/19001949/1905/1905.57.607.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1905/1905.57.607.rev.width175.jpg
http://numismatics.org/collection/1905.57.608,"Gold Solidus of Valentinian III, Ravenna, AD 426 - AD 430. 1905.57.608",Valentinian III,,Solidus,Roman,21.5,,,Struck,Gold,Ravenna,D N PLA VALENTI-NIANVS P F AVG,Bust diademed draped cuirassed right,Coin,Valentinian III,RIC X Valentinian III 2010,Italy,"41.9, 12.5",VICTORI-A AVGGG,"Emperor standing front, holding cross sceptre and Victory on globe, right foot on human headed serpent",4.515,426,430,428,http://numismatics.org/collectionimages/19001949/1905/1905.57.608.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1905/1905.57.608.rev.width175.jpg
http://numismatics.org/collection/1905.57.609,"Gold Solidus of Leo I, Constantinople, AD 462 - AD 466. 1905.57.609",Leo I,Victory,Solidus,Roman,21,,,Struck,Gold,Constantinople,D N LEO PE-RPET AVG,bust facing helmeted cuirassed holding spear and shield,Coin,Leo I,RIC X Leo I (East) 605,Thrace,"42.15, 24.75",VICTORI-A AVGGG,Victory standing left holding cross sceptre,4.42,462,466,464,http://numismatics.org/collectionimages/19001949/1905/1905.57.609.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1905/1905.57.609.rev.width175.jpg
http://numismatics.org/collection/1905.57.610,"Gold Solidus of Zeno, Constantinople, AD 476 - AD 491. 1905.57.610",Zeno,Victory,Solidus,Roman,19.5,,,Struck,Gold,Constantinople,D N ZENO - PERP AVG,Bust facing helmeted cuirassed holding spear in right and shield on left shoulder,Coin,Zeno,RIC X Zeno (East) 910,Thrace,"42.15, 24.75",VICTORI-A AVGGG,Victory standing left holding cross sceptre,4.429,476,491,483,http://numismatics.org/collectionimages/19001949/1905/1905.57.610.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1905/1905.57.610.rev.width175.jpg
http://numismatics.org/collection/1905.57.611,"Gold Solidus of Theodosius II, Constantinople, AD 414. 1905.57.611",Theodosius II,Victory,Solidus,Roman,20.5,,,Struck,Gold,Constantinople,AEL PVLCHERIA AVG,Bust diademed draped right manus Dei above,Coin,Aelia Pulcheria,RIC X Theodosius II (East) 205,Thrace,"42.15, 24.75",SALVS REIPVBLICAE,Victory seated right inscribing Chi Ro on shield,4.472,414,414,414,http://numismatics.org/collectionimages/19001949/1905/1905.57.611.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1905/1905.57.611.rev.width175.jpg
http://numismatics.org/collection/1909.78.64,"Gold Solidus of Theodosius II, Constantinople, AD 408 - AD 450. 1909.78.64",Theodosius II,Victory,Solidus,Roman,21,,Theodosius II,,Gold,Constantinople,D N THEODOSIVS P F AVG,Bust facing helmeted cuirassed holding spear and shield,Coin,,,,,CONCORDIA AVGGG,"Constantinopolis seated front, holding spear and Victory on globe, prow left",4.48,408,450,429,http://numismatics.org/collectionimages/19001949/1909/1909.78.64.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1909/1909.78.64.rev.width175.jpg
http://numismatics.org/collection/1912.24.1,"Gold Tremissis of Leo I, Constantinople, AD 462 - AD 466. 1912.24.1",Leo I,Victory,Tremissis,Roman,15,,,Struck,Gold,Constantinople,D N LEO PE-RPET AVG,bust diademed draped cuirassed right,Coin,Leo I,RIC X Leo I (East) 613,Thrace,"42.15, 24.75",VICTORIA AVGVSTORV,Victory advancing front holding wreath and cross on globe,1.486,462,466,464,http://numismatics.org/collectionimages/19001949/1912/1912.24.1.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1912/1912.24.1.rev.width175.jpg
http://numismatics.org/collection/1919.999.93,"Gold Solidus of Honorius, Ravenna, AD 402 - AD 406. 1919.999.93",Honorius,,Solidus,Roman,21,,,Struck,Gold,Ravenna,D N ARCADI-VS P F AVG,Bust diademed draped cuirassed right,Coin,Arcadius,RIC X Honorius 1286,Italy,"41.9, 12.5",VICTORI-A AVGGG,"Emperor standing right holding standard and Victory on globe, captive to right",4.337,402,406,404,http://numismatics.org/collectionimages/19001949/1919/1919.999.93.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.999.93.rev.width175.jpg
http://numismatics.org/collection/1919.999.94,"Bronze AE3 of Arcadius, Constantinople, AD 401 - AD 403. 1919.999.94",Arcadius,Victory,AE3,Roman,16.5,,,Struck,Bronze,Constantinople,AEL EODOXIA AVG,bust diademed draped right manus Dei above,Coin,Aelia Eudoxia,RIC X Arcadius 101,Thrace,"42.15, 24.75",SALVS REIPVBLICAE,Victory seated right inscribing Chi Ro on shield,2.302,401,403,402,http://numismatics.org/collectionimages/19001949/1919/1919.999.94.obv.width175.jpg,http://numismatics.org/collectionimages/19001949/1919/1919.999.94.rev.width175.jpg
