voyageid,shipname,nationality,captain,date_dep,principal_place_of_slave_purchase,principal_place_of_slave_landing,principal_region_of_slave_landing,total_slaves_embarked,total_slaves_disembarked,percentmen,percentwomen,percentboy,percentgirl,percentchild,slave_deaths_during_middle_passage
33082,Helvétie,France,"Augé, P",1791-03-13,Mozambique,Havana,Cuba,550,414,64.0%,13.0%,16.0%,6.0%,23.0%,136
33083,Sérapis,France,"Curet, L-M",1791-03-14,Mozambique,Havana,Cuba,454,314,59.0%,17.0%,19.0%,5.0%,24.0%,
33085,Anaz,France,"Heraud, J-M",1791-12-??,Mozambique,,,386,267,,,,,,
33112,Astrée,France,Rouxel de Saint-Maurice,1785-07-23,Mozambique,Cap Français,Saint-Domingue,362,250,,,,,,
33283,Sainte Anne,France,Hercouët,1775-10-27,Mozambique,Cap Français,Saint-Domingue,553,553,43.0%,22.0%,23.0%,12.0%,35.0%,
33290,Aimable Victoire,France,Ruellan de Gallinée,1777-??-??,Mozambique,Cayenne,French Guiana,386,267,,,,,,
33313,Aurore,France,Tardivet,1789-03-03,Mozambique,,,600,,,,,,,
33316,Comte de Thiard,France,"Avice, Bertrand",1789-08-14,Mozambique,Cap Français,Saint-Domingue,230,230,,,,,,
33329,Samaritaine,France,Herpin,1783-??-??,Kilwa,Cap Français,Saint-Domingue,166,115,,,,,,
33521,Africain,France,"Guezennec, Joseph",1819-09-11,Zanzibar,"Martinique, port unspecified",Martinique,244,200,,,,,,
33524,Bon Ménage,,,1790-09-??,Mozambique,"Dominica, port unspecified",Dominica,970,670,,,,,,
33561,Négrier Impérial,France,Bucaud (Baud?),1783-??-??,Mozambique,Havana,Cuba,386,267,,,,,,
33566,Sully,France,"Tabois, Jacques",1784-??-??,Mascarene Islands,"Martinique, port unspecified",Martinique,386,267,,,,,,
33567,David,,"Jalineau, François",1786-02-11,Mozambique,,,386,,,,,,,
33573,Sully,France,"Tabois, Jacques",1786-12-14,Mozambique,,,386,267,,,,,,
33578,Oiseau,France,Lemercier,1786-03-02,Kilwa,"French Caribbean, colony unspecified",Other French Caribbean,310,266,,,,,,
33597,"Maurice, Charles",France,"Darribeau, Léon",1802-06-05,"Southeast Africa and Indian Ocean islands, port unspecified",Montevideo,Rio de la Plata,400,312,56.0%,37.0%,7.0%,,7.0%,88
33603,Guteman,France,"Bunder, Peter Christian; Castex, Étienne",1802-08-02,Mozambique,Buenos Aires,Rio de la Plata,547,448,,,,,,
33613,Gustave,France,"Rondeau, Maurice",1804-01-06,Kilwa,,,514,421,,,,,,
33701,Livorne,France,Brugerin,,Mozambique,"Saint-Domingue, port unspecified",Saint-Domingue,386,267,,,,,,
33702,Alexandre,France,,,"Southeast Africa and Indian Ocean islands, port unspecified","Saint-Domingue, port unspecified",Saint-Domingue,260,42,,,,,,218
33770,Saint Michel,France,,1734-04-12,Madagascar,"Saint-Domingue, port unspecified",Saint-Domingue,386,267,,,,,,
33823,Paquebot de Bourbon,France,,1786-06-23,Mozambique,Cap Français,Saint-Domingue,190,131,,,,,,
34270,Silence,France,Fortier,1821-05-03,"Southeast Africa and Indian Ocean islands, port unspecified","Brazil, region unspecified",Other Brazil,514,421,,,,,,
34671,Furet,France,"Bertrand, Pierre",1830-04-24,"Southeast Africa and Indian Ocean islands, port unspecified","Americas, port unspecified",Americas,490,444,,,,,,
35107,Grevinden af Laurvigen,Denmark,"Holst, J N",1737-06-08,Madagascar,St. Thomas,Danish West Indies,42,21,30.0%,40.0%,25.0%,5.0%,30.0%,21
36570,Ascension,U.S.A.,"Stanton, John",1791-10-15,Mozambique,Havana,Cuba,276,214,47.0%,22.0%,19.0%,12.0%,31.0%,62
36588,Don Galvez,U.S.A.,Grey,1792-12-??,Mozambique,St. Eustatius,Dutch Caribbean,271,251,,,,,,
36590,Ascension,U.S.A.,"Chace, Samuel",1793-05-28,Mozambique,Havana,Cuba,221,197,39.0%,11.0%,37.0%,14.0%,51.0%,24
36620,Ascension,U.S.A.,"Chace, Samuel",1795-11-02,Mozambique,Montevideo,Rio de la Plata,283,250,46.0%,11.0%,38.0%,5.0%,43.0%,33
36759,Elizabeth and Sarah,U.S.A.,"Wickham, Miller",1802-04-26,Mozambique,Havana,Cuba,143,97,40.0%,23.0%,25.0%,12.0%,37.0%,46
36782,Minerva,U.S.A.,"Collins, William",1803-07-08,Quilimane,Havana,Cuba,205,160,54.0%,21.0%,16.0%,9.0%,24.0%,45
36809,Oneida,U.S.A.,"Mayberry, Freeman",1804-06-07,Mozambique,Havana,Cuba,268,239,63.0%,13.0%,20.0%,3.0%,23.0%,
